Report Based on Repo
+-----------------------+---------------+----------------+-----------------+--------------+
|         NAME          | TOTALDOWNSIZE | TOTALDOWNLOADS | TOTALUPLOADSIZE | TOTALUPLOADS |
| generic-local-repo262 |           528 |              9 |           25740 |         1030 |
| generic-local-repo128 |          2324 |             87 |           23920 |          970 |
| generic-local-repo255 |          2226 |             89 |           23920 |          970 |
| generic-local-repo472 |          2208 |             56 |           23920 |          970 |
| generic-local-repo35  |          3752 |            134 |           21940 |          880 |
| generic-local-repo481 |          1248 |              9 |           24240 |          970 |
| generic-local-repo335 |          1200 |             48 |           24240 |          970 |
| generic-local-repo197 |          1475 |             58 |           23920 |          970 |
| generic-local-repo470 |           864 |              9 |           24240 |          970 |
| generic-local-repo49  |          5628 |            194 |           19120 |          780 |
| generic-local-repo196 |           456 |              9 |           24240 |          970 |
| generic-local-repo12  |          7180 |            213 |           17440 |          700 |
| generic-local-repo170 |           250 |             10 |           24240 |          970 |
| generic-local-repo302 |           480 |              9 |           23920 |          970 |
| generic-local-repo30  |          6899 |            203 |           17440 |          700 |
| generic-local-repo104 |             0 |              0 |           24240 |          970 |
| generic-local-repo100 |           250 |             10 |           23920 |          970 |
| generic-local-repo99  |           648 |              9 |           23420 |          950 |
| generic-local-repo233 |             0 |              0 |           23920 |          970 |
| generic-local-repo252 |             0 |              0 |           23600 |          970 |
| generic-local-repo308 |          5292 |            135 |           18222 |          750 |
| generic-local-repo354 |          7097 |            196 |           16240 |          650 |
| generic-local-repo263 |          6921 |            198 |           16240 |          650 |
| generic-local-repo77  |          5850 |            208 |           17120 |          700 |
| generic-local-repo164 |          4836 |            163 |           17520 |          714 |
| generic-local-repo121 |          6071 |            178 |           16240 |          650 |
| generic-local-repo136 |          6022 |            209 |           16240 |          650 |
| generic-local-repo384 |          5915 |            174 |           16240 |          650 |
| generic-local-repo74  |          4667 |            153 |           17440 |          700 |
| generic-local-repo106 |          2600 |             93 |           19420 |          790 |
| generic-local-repo86  |          4771 |            169 |           17120 |          700 |
| generic-local-repo125 |          5955 |            201 |           15920 |          650 |
| generic-local-repo8   |          3663 |            137 |           17440 |          700 |
| generic-local-repo21  |          3639 |             94 |           17439 |          700 |
| generic-local-repo318 |          4749 |            175 |           16240 |          650 |
| generic-local-repo454 |          4721 |            154 |           16240 |          650 |
| generic-local-repo348 |          4694 |            153 |           16240 |          650 |
| generic-local-repo137 |          4645 |            149 |           16240 |          650 |
| generic-local-repo24  |          3384 |             59 |           17440 |          700 |
| generic-local-repo350 |          4569 |            153 |           16240 |          650 |
| generic-local-repo38  |          3636 |            126 |           17126 |          700 |
| generic-local-repo65  |          3609 |            138 |           17111 |          700 |
| generic-local-repo412 |          4469 |            145 |           16240 |          650 |
| generic-local-repo84  |          2755 |             94 |           17440 |          700 |
| generic-local-repo280 |          2980 |             68 |           17200 |          714 |
| generic-local-repo199 |          2605 |             97 |           17520 |          714 |
| generic-local-repo241 |          3819 |            128 |           16240 |          650 |
| generic-local-repo369 |          3799 |            136 |           16240 |          650 |
| generic-local-repo270 |          3672 |            137 |           16240 |          650 |
| generic-local-repo272 |          3649 |            135 |           16240 |          650 |
| generic-local-repo25  |          2438 |             96 |           17440 |          700 |
| generic-local-repo208 |          3624 |            126 |           16240 |          650 |
| generic-local-repo37  |          2362 |             88 |           17440 |          700 |
| generic-local-repo426 |          3546 |            127 |           16240 |          650 |
| generic-local-repo309 |          3497 |            111 |           16240 |          650 |
| generic-local-repo33  |          2286 |             84 |           17440 |          700 |
| generic-local-repo124 |          3472 |            120 |           16240 |          650 |
| generic-local-repo190 |          3472 |            120 |           16240 |          650 |
| generic-local-repo315 |          3652 |            138 |           15920 |          650 |
| generic-local-repo204 |          3622 |            136 |           15920 |          650 |
| generic-local-repo229 |          3549 |            123 |           15920 |          650 |
| generic-local-repo489 |          3530 |            132 |           15920 |          650 |
| generic-local-repo261 |          3408 |            124 |           15920 |          650 |
| generic-local-repo386 |          1086 |             50 |           18222 |          750 |
| generic-local-repo97  |          3384 |            124 |           15920 |          650 |
| generic-local-repo289 |          3360 |            121 |           15920 |          650 |
| generic-local-repo485 |          2218 |             90 |           16931 |          700 |
| generic-local-repo169 |          2244 |             94 |           16880 |          714 |
| generic-local-repo380 |          2649 |             95 |           16240 |          650 |
| generic-local-repo487 |          2575 |             93 |           16240 |          650 |
| generic-local-repo78  |          1632 |             50 |           17120 |          700 |
| generic-local-repo448 |          2475 |             93 |           16240 |          650 |
| generic-local-repo468 |          2371 |             87 |           16292 |          654 |
| generic-local-repo187 |          2419 |             91 |           16240 |          650 |
| generic-local-repo40  |          1194 |             48 |           17440 |          700 |
| generic-local-repo439 |          2373 |             92 |           16240 |          650 |
| generic-local-repo324 |          2372 |             91 |           16240 |          650 |
| generic-local-repo366 |          2348 |             91 |           16240 |          650 |
| generic-local-repo144 |          2347 |             88 |           16240 |          650 |
| generic-local-repo134 |          2347 |             89 |           16240 |          650 |
| generic-local-repo364 |          2297 |             83 |           16240 |          650 |
| generic-local-repo178 |          1299 |             52 |           17200 |          690 |
| generic-local-repo139 |          2425 |             95 |           15920 |          650 |
| generic-local-repo276 |          2422 |             87 |           15920 |          650 |
| generic-local-repo463 |          2419 |             94 |           15920 |          650 |
| generic-local-repo66  |           883 |             37 |           17432 |          700 |
| generic-local-repo34  |          1162 |             48 |           17146 |          702 |
| generic-local-repo70  |           861 |             36 |           17436 |          700 |
| generic-local-repo23  |           816 |             34 |           17440 |          700 |
| generic-local-repo81  |          3555 |            123 |           14440 |          580 |
| generic-local-repo483 |          4441 |            128 |           13240 |          530 |
| generic-local-repo488 |          1398 |             54 |           16240 |          650 |
| generic-local-repo186 |          1249 |             50 |           16240 |          650 |
| generic-local-repo213 |          1225 |             49 |           16240 |          650 |
| generic-local-repo455 |          1225 |             49 |           16240 |          650 |
| generic-local-repo330 |          1200 |             48 |           16240 |          650 |
| generic-local-repo98  |          1175 |             47 |           16240 |          650 |
| generic-local-repo462 |          1149 |             46 |           16240 |          650 |
| generic-local-repo437 |          1125 |             45 |           16240 |          650 |
| generic-local-repo260 |          1080 |              9 |           16240 |          650 |
| generic-local-repo264 |          1080 |              9 |           16240 |          650 |
| generic-local-repo498 |          1032 |              9 |           16240 |          650 |
| generic-local-repo316 |          1008 |              9 |           16240 |          650 |
| generic-local-repo352 |           495 |             20 |           16740 |          670 |
| generic-local-repo342 |           864 |              9 |           16240 |          650 |
| generic-local-repo282 |           864 |              9 |           16240 |          650 |
| generic-local-repo258 |          1174 |             48 |           15920 |          650 |
| generic-local-repo432 |          1149 |             47 |           15920 |          650 |
| generic-local-repo108 |          1128 |             47 |           15920 |          650 |
| generic-local-repo450 |           792 |              9 |           16240 |          650 |
| generic-local-repo179 |          1080 |             45 |           15920 |          650 |
| generic-local-repo283 |          1223 |             49 |           15740 |          630 |
| generic-local-repo236 |           648 |              9 |           16240 |          650 |
| generic-local-repo142 |           648 |              9 |           16240 |          650 |
| generic-local-repo475 |           648 |              9 |           16240 |          650 |
| generic-local-repo372 |          3360 |            110 |           13420 |          550 |
| generic-local-repo370 |           792 |              9 |           15920 |          650 |
| generic-local-repo357 |           432 |              9 |           16240 |          650 |
| generic-local-repo495 |           432 |              9 |           16240 |          650 |
| generic-local-repo368 |           216 |              9 |           16240 |          650 |
| generic-local-repo193 |           216 |              9 |           16240 |          650 |
| generic-local-repo119 |           216 |              9 |           16240 |          650 |
| generic-local-repo48  |          6914 |            208 |            9440 |          380 |
| generic-local-repo127 |           720 |              9 |           15600 |          650 |
| generic-local-repo155 |           648 |              9 |           15600 |          650 |
| generic-local-repo157 |             0 |              0 |           16240 |          650 |
| generic-local-repo480 |             0 |              0 |           16240 |          650 |
| generic-local-repo434 |             0 |              0 |           16240 |          650 |
| generic-local-repo145 |           216 |              9 |           15920 |          650 |
| generic-local-repo492 |             0 |              0 |           15920 |          650 |
| generic-local-repo182 |          2097 |             78 |           13740 |          550 |
| generic-local-repo151 |          3456 |            124 |           12240 |          510 |
| generic-local-repo103 |          7119 |            191 |            8240 |          330 |
| generic-local-repo469 |          6913 |            193 |            8240 |          330 |
| generic-local-repo11  |          2361 |             88 |           12440 |          500 |
| generic-local-repo319 |          2212 |             83 |           12525 |          510 |
| generic-local-repo62  |          4920 |             58 |            9440 |          380 |
| generic-local-repo45  |          4845 |            157 |            9440 |          380 |
| generic-local-repo390 |          6023 |            177 |            8240 |          330 |
| generic-local-repo201 |          5922 |            180 |            8240 |          330 |
| generic-local-repo67  |          4696 |            148 |            9433 |          380 |
| generic-local-repo16  |          4672 |            163 |            9440 |          380 |
| generic-local-repo112 |          5818 |            173 |            8240 |          330 |
| generic-local-repo135 |          4538 |            157 |            9520 |          394 |
| generic-local-repo41  |          4110 |            144 |            9440 |          380 |
| generic-local-repo418 |          3631 |            122 |            9902 |          430 |
| generic-local-repo131 |          5544 |            169 |            7920 |          330 |
| generic-local-repo80  |          3960 |             57 |            9440 |          380 |
| generic-local-repo94  |          5021 |            156 |            8240 |          330 |
| generic-local-repo52  |          3816 |             57 |            9440 |          380 |
| generic-local-repo60  |          2581 |             80 |           10656 |          444 |
| generic-local-repo235 |          4968 |            158 |            8240 |          330 |
| generic-local-repo203 |          4863 |            150 |            8293 |          334 |
| generic-local-repo234 |          4792 |            155 |            8240 |          330 |
| generic-local-repo254 |          4770 |            161 |            8240 |          330 |
| generic-local-repo46  |          3565 |             95 |            9440 |          380 |
| generic-local-repo452 |          4745 |            159 |            8240 |          330 |
| generic-local-repo443 |          4744 |            154 |            8240 |          330 |
| generic-local-repo246 |          4720 |            148 |            8240 |          330 |
| generic-local-repo152 |          4669 |            161 |            8240 |          330 |
| generic-local-repo458 |          4669 |            152 |            8240 |          330 |
| generic-local-repo118 |          4621 |            144 |            8240 |          330 |
| generic-local-repo271 |          4593 |            146 |            8240 |          330 |
| generic-local-repo18  |          3264 |             57 |            9440 |          380 |
| generic-local-repo206 |          1896 |             61 |           10640 |          430 |
| generic-local-repo243 |          4440 |            144 |            7920 |          330 |
| generic-local-repo57  |          2808 |            104 |            9440 |          380 |
| generic-local-repo32  |           889 |             38 |           11234 |          480 |
| generic-local-repo61  |          2578 |             96 |            9440 |          380 |
| generic-local-repo294 |          3775 |            117 |            8240 |          330 |
| generic-local-repo273 |          2170 |             86 |            9840 |          410 |
| generic-local-repo460 |          3748 |            132 |            8240 |          330 |
| generic-local-repo76  |          2496 |             55 |            9440 |          380 |
| generic-local-repo473 |          3669 |            126 |            8240 |          330 |
| generic-local-repo391 |           648 |              9 |           11240 |          450 |
| generic-local-repo75  |          2412 |             89 |            9440 |          380 |
| generic-local-repo355 |          3569 |            130 |            8240 |          330 |
| generic-local-repo482 |          3546 |            125 |            8240 |          330 |
| generic-local-repo101 |          3545 |            123 |            8240 |          330 |
| generic-local-repo423 |          3045 |            103 |            8740 |          350 |
| generic-local-repo298 |          3545 |            124 |            8240 |          330 |
| generic-local-repo176 |          3864 |            132 |            7920 |          330 |
| generic-local-repo286 |          3518 |            119 |            8240 |          330 |
| generic-local-repo6   |          2310 |             89 |            9440 |          380 |
| generic-local-repo300 |          3495 |            126 |            8240 |          330 |
| generic-local-repo115 |          3495 |            118 |            8240 |          330 |
| generic-local-repo160 |          3447 |            117 |            8280 |          332 |
| generic-local-repo392 |          3471 |            129 |            8240 |          330 |
| generic-local-repo400 |          3419 |            121 |            8292 |          334 |
| generic-local-repo494 |          3448 |            123 |            8240 |          330 |
| generic-local-repo394 |          3373 |            119 |            8240 |          330 |
| generic-local-repo441 |          3343 |            119 |            8240 |          330 |
| generic-local-repo340 |          2119 |             90 |            9222 |          430 |
| generic-local-repo476 |          3375 |            118 |            7965 |          330 |
| generic-local-repo36  |          1848 |             52 |            9440 |          380 |
| generic-local-repo459 |          3360 |            121 |            7920 |          330 |
| generic-local-repo466 |          2899 |            108 |            8240 |          330 |
| generic-local-repo64  |          1680 |             49 |            9440 |          380 |
| generic-local-repo85  |          1645 |             50 |            9466 |          382 |
| generic-local-repo83  |          6288 |            152 |            4800 |          200 |
| generic-local-repo88  |          1560 |             46 |            9440 |          380 |
| generic-local-repo126 |          1128 |             47 |            9840 |          410 |
| generic-local-repo105 |          2698 |             95 |            8240 |          330 |
| generic-local-repo299 |          2673 |             99 |            8240 |          330 |
| generic-local-repo96  |          1930 |             55 |            8972 |          374 |
| generic-local-repo284 |          2572 |             94 |            8240 |          330 |
| generic-local-repo149 |          2547 |             91 |            8240 |          330 |
| generic-local-repo191 |             0 |              0 |           10740 |          430 |
| generic-local-repo440 |          2497 |             92 |            8240 |          330 |
| generic-local-repo456 |          2444 |             91 |            8240 |          330 |
| generic-local-repo4   |          1243 |             50 |            9440 |          380 |
| generic-local-repo55  |          1560 |             45 |            9120 |          380 |
| generic-local-repo189 |          2423 |             90 |            8240 |          330 |
| generic-local-repo120 |          4418 |            142 |            6240 |          250 |
| generic-local-repo28  |          1193 |             48 |            9440 |          380 |
| generic-local-repo478 |          2372 |             89 |            8240 |          330 |
| generic-local-repo383 |          2372 |             83 |            8240 |          330 |
| generic-local-repo22  |          1171 |             47 |            9440 |          380 |
| generic-local-repo166 |          2350 |             89 |            8240 |          330 |
| generic-local-repo253 |          2349 |             87 |            8240 |          330 |
| generic-local-repo275 |          2347 |             87 |            8240 |          330 |
| generic-local-repo177 |          2325 |             88 |            8240 |          330 |
| generic-local-repo379 |          2248 |             86 |            8240 |          330 |
| generic-local-repo374 |          2544 |             95 |            7920 |          330 |
| generic-local-repo53  |           888 |             37 |            9440 |          380 |
| generic-local-repo26  |           864 |             36 |            9440 |          380 |
| generic-local-repo51  |           792 |             33 |            9440 |          380 |
| generic-local-repo133 |          1675 |             66 |            8240 |          330 |
| generic-local-repo9   |           456 |             19 |            9440 |          380 |
| generic-local-repo14  |           408 |             17 |            9480 |          382 |
| generic-local-repo223 |          1556 |             53 |            8240 |          330 |
| generic-local-repo449 |          1776 |             55 |            7920 |          330 |
| generic-local-repo153 |          1424 |             56 |            8240 |          330 |
| generic-local-repo29  |          1704 |             49 |            7940 |          320 |
| generic-local-repo334 |          1296 |              9 |            8240 |          330 |
| generic-local-repo227 |          1224 |             49 |            8240 |          330 |
| generic-local-repo165 |          1200 |             48 |            8240 |          330 |
| generic-local-repo68  |             0 |              0 |            9434 |          380 |
| generic-local-repo281 |          1175 |             47 |            8240 |          330 |
| generic-local-repo419 |          1175 |             47 |            8240 |          330 |
| generic-local-repo365 |          1149 |             46 |            8240 |          330 |
| generic-local-repo172 |          1080 |              9 |            8240 |          330 |
| generic-local-repo411 |          1080 |              9 |            8240 |          330 |
| generic-local-repo231 |          1056 |              9 |            8240 |          330 |
| generic-local-repo245 |          1032 |              9 |            8240 |          330 |
| generic-local-repo317 |          1032 |              9 |            8240 |          330 |
| generic-local-repo183 |           912 |              9 |            8240 |          330 |
| generic-local-repo338 |           864 |              9 |            8240 |          330 |
| generic-local-repo181 |           864 |              9 |            8240 |          330 |
| generic-local-repo326 |           792 |             13 |            8293 |          334 |
| generic-local-repo129 |           840 |              9 |            8240 |          330 |
| generic-local-repo143 |           816 |              9 |            8240 |          330 |
| generic-local-repo312 |          1128 |              9 |            7920 |          330 |
| generic-local-repo332 |           768 |              9 |            8240 |          330 |
| generic-local-repo404 |          1080 |             45 |            7920 |          330 |
| generic-local-repo225 |          1080 |             45 |            7920 |          330 |
| generic-local-repo141 |          1056 |             44 |            7920 |          330 |
| generic-local-repo417 |           720 |              9 |            8240 |          330 |
| generic-local-repo406 |           648 |              9 |            8240 |          330 |
| generic-local-repo211 |           648 |              9 |            8240 |          330 |
| generic-local-repo362 |           648 |              9 |            8240 |          330 |
| generic-local-repo435 |           648 |              9 |            8240 |          330 |
| generic-local-repo429 |           648 |              9 |            8240 |          330 |
| generic-local-repo268 |           648 |              9 |            8240 |          330 |
| generic-local-repo175 |           648 |              9 |            8240 |          330 |
| generic-local-repo376 |           648 |              9 |            8240 |          330 |
| generic-local-repo116 |           648 |              9 |            8240 |          330 |
| generic-local-repo361 |           648 |              9 |            8240 |          330 |
| generic-local-repo307 |           624 |              9 |            8240 |          330 |
| generic-local-repo3   |             0 |              0 |            8810 |          380 |
| generic-local-repo249 |           864 |              9 |            7920 |          330 |
| generic-local-repo285 |           456 |              9 |            8240 |          330 |
| generic-local-repo425 |           432 |              9 |            8240 |          330 |
| generic-local-repo109 |           432 |              9 |            8240 |          330 |
| generic-local-repo484 |           432 |              9 |            8240 |          330 |
| generic-local-repo453 |           432 |              9 |            8240 |          330 |
| generic-local-repo344 |           432 |              9 |            8240 |          330 |
| generic-local-repo491 |           432 |              9 |            8240 |          330 |
| generic-local-repo146 |           432 |              9 |            8240 |          330 |
| generic-local-repo415 |           408 |              9 |            8240 |          330 |
| generic-local-repo403 |           864 |              9 |            7740 |          310 |
| generic-local-repo212 |           672 |              9 |            7920 |          330 |
| generic-local-repo471 |           336 |              9 |            8240 |          330 |
| generic-local-repo321 |           648 |              9 |            7920 |          330 |
| generic-local-repo168 |          1265 |             11 |            7266 |          292 |
| generic-local-repo148 |           576 |              9 |            7920 |          330 |
| generic-local-repo228 |           216 |              9 |            8240 |          330 |
| generic-local-repo214 |           216 |              9 |            8240 |          330 |
| generic-local-repo388 |           216 |              9 |            8240 |          330 |
| generic-local-repo293 |           216 |              9 |            8240 |          330 |
| generic-local-repo477 |           216 |              9 |            8240 |          330 |
| generic-local-repo457 |           216 |              9 |            8240 |          330 |
| generic-local-repo486 |           216 |              9 |            8240 |          330 |
| generic-local-repo219 |           168 |              7 |            8240 |          330 |
| generic-local-repo393 |           432 |              9 |            7920 |          330 |
| generic-local-repo113 |           432 |              9 |            7920 |          330 |
| generic-local-repo336 |           600 |              9 |            7740 |          310 |
| generic-local-repo274 |            50 |              2 |            8240 |          330 |
| generic-local-repo305 |             0 |              0 |            8240 |          330 |
| generic-local-repo490 |             0 |              0 |            8240 |          330 |
| generic-local-repo205 |             0 |              0 |            8240 |          330 |
| generic-local-repo408 |             0 |              0 |            8240 |          330 |
| generic-local-repo414 |           216 |              9 |            7920 |          330 |
| generic-local-repo209 |           216 |              9 |            7920 |          330 |
| generic-local-repo323 |          3702 |            116 |            3931 |          180 |
| generic-local-repo251 |           624 |              9 |            6960 |          290 |
| generic-local-repo226 |          2104 |             78 |            5440 |          220 |
| generic-local-repo158 |          3189 |             99 |            4240 |          170 |
| generic-local-repo445 |           216 |              9 |            6740 |          270 |
| generic-local-repo230 |          1123 |             45 |            4740 |          190 |
| generic-local-repo54  |          4320 |             58 |            1440 |           60 |
| generic-local-repo19  |          4224 |             59 |            1440 |           60 |
| generic-local-repo221 |           648 |              9 |            4740 |          190 |
| generic-local-repo59  |          3552 |             59 |            1440 |           60 |
| generic-local-repo43  |             0 |              0 |            4940 |          200 |
| generic-local-repo87  |          3408 |             58 |            1440 |           60 |
| generic-local-repo277 |          2564 |             84 |            2222 |          110 |
| generic-local-repo13  |          2592 |             55 |            1940 |           80 |
| generic-local-repo56  |          1663 |             63 |            2656 |          124 |
| generic-local-repo111 |          1249 |             45 |            2740 |          110 |
| generic-local-repo82  |          2496 |             56 |            1440 |           60 |
| generic-local-repo5   |          2376 |             52 |            1440 |           60 |
| generic-local-repo42  |          2376 |             54 |            1440 |           60 |
| generic-local-repo117 |          1080 |              9 |            2240 |           90 |
| generic-local-repo15  |          1872 |             53 |            1440 |           60 |
| generic-local-repo69  |          1602 |             48 |            1435 |           60 |
| generic-local-repo44  |          1536 |             51 |            1440 |           60 |
| generic-local-repo72  |          1534 |             47 |            1438 |           60 |
| generic-local-repo244 |           749 |             37 |            2222 |          110 |
| generic-local-repo10  |           912 |             38 |            1440 |           60 |
| generic-local-repo7   |           888 |             35 |            1440 |           60 |
| generic-local-repo20  |           840 |             35 |            1440 |           60 |
| generic-local-repo50  |           840 |             35 |            1440 |           60 |
| generic-local-repo306 |          1728 |              9 |             240 |           10 |
| generic-local-repo207 |          1464 |              9 |             240 |           10 |
| generic-local-repo237 |          1296 |              9 |             240 |           10 |
| generic-local-repo257 |          1296 |              9 |             240 |           10 |
| generic-local-repo314 |          1296 |              9 |             240 |           10 |
| generic-local-repo102 |          1296 |              9 |             240 |           10 |
| generic-local-repo92  |             0 |              0 |            1520 |           74 |
| generic-local-repo17  |             0 |              0 |            1518 |           66 |
| generic-local-repo310 |          1224 |              9 |             240 |           10 |
| generic-local-repo194 |          1080 |              9 |             240 |           10 |
| generic-local-repo378 |          1080 |              9 |             240 |           10 |
| generic-local-repo496 |          1080 |              9 |             240 |           10 |
| generic-local-repo184 |          1080 |              9 |             240 |           10 |
| generic-local-repo215 |          1080 |              9 |             240 |           10 |
| generic-local-repo161 |          1080 |              9 |             240 |           10 |
| generic-local-repo296 |          1056 |              9 |             240 |           10 |
| generic-local-repo180 |          1056 |              9 |             240 |           10 |
| generic-local-repo278 |           936 |              9 |             240 |           10 |
| generic-local-repo353 |           936 |              9 |             240 |           10 |
| generic-local-repo242 |           912 |              9 |             240 |           10 |
| generic-local-repo430 |           912 |              9 |             240 |           10 |
| generic-local-repo413 |           864 |              9 |             240 |           10 |
| generic-local-repo138 |           864 |              9 |             240 |           10 |
| generic-local-repo345 |           864 |              9 |             240 |           10 |
| generic-local-repo465 |           864 |              9 |             240 |           10 |
| generic-local-repo399 |           864 |              9 |             240 |           10 |
| generic-local-repo387 |           864 |              9 |             240 |           10 |
| generic-local-repo173 |           864 |              9 |             240 |           10 |
| generic-local-repo89  |           864 |              9 |             240 |           10 |
| generic-local-repo301 |           864 |              9 |             240 |           10 |
| generic-local-repo216 |           864 |              9 |             240 |           10 |
| generic-local-repo433 |           864 |              9 |             240 |           10 |
| generic-local-repo290 |           840 |              9 |             240 |           10 |
| generic-local-repo95  |           840 |              9 |             240 |           10 |
| generic-local-repo421 |           840 |              9 |             240 |           10 |
| generic-local-repo232 |           840 |              9 |             240 |           10 |
| generic-local-repo256 |           768 |              9 |             240 |           10 |
| generic-local-repo267 |           744 |              9 |             240 |           10 |
| generic-local-repo420 |           696 |              9 |             240 |           10 |
| generic-local-repo398 |           696 |              9 |             240 |           10 |
| generic-local-repo248 |           672 |              9 |             240 |           10 |
| generic-local-repo93  |           648 |              9 |             240 |           10 |
| generic-local-repo397 |           648 |              9 |             240 |           10 |
| generic-local-repo259 |           648 |              9 |             240 |           10 |
| generic-local-repo424 |           648 |              9 |             240 |           10 |
| generic-local-repo447 |           648 |              9 |             240 |           10 |
| generic-local-repo339 |           648 |              9 |             240 |           10 |
| generic-local-repo130 |           648 |              9 |             240 |           10 |
| generic-local-repo451 |           648 |              9 |             240 |           10 |
| generic-local-repo140 |           648 |              9 |             240 |           10 |
| generic-local-repo269 |           648 |              9 |             240 |           10 |
| generic-local-repo162 |           648 |              9 |             240 |           10 |
| generic-local-repo279 |           648 |              9 |             240 |           10 |
| generic-local-repo200 |           648 |              9 |             240 |           10 |
| generic-local-repo389 |           648 |              9 |             240 |           10 |
| generic-local-repo250 |           648 |              9 |             240 |           10 |
| generic-local-repo356 |           648 |              9 |             240 |           10 |
| generic-local-repo174 |           648 |              9 |             240 |           10 |
| generic-local-repo327 |           624 |              9 |             240 |           10 |
| generic-local-repo331 |           624 |              9 |             240 |           10 |
| generic-local-repo349 |           600 |              9 |             240 |           10 |
| generic-local-repo240 |           576 |              9 |             240 |           10 |
| generic-local-repo358 |           552 |              9 |             240 |           10 |
| generic-local-repo122 |           552 |              9 |             240 |           10 |
| generic-local-repo224 |           528 |              9 |             240 |           10 |
| generic-local-repo247 |           480 |              9 |             240 |           10 |
| generic-local-repo303 |           480 |              9 |             240 |           10 |
| generic-local-repo150 |           480 |              9 |             240 |           10 |
| generic-local-repo396 |           480 |              9 |             240 |           10 |
| generic-local-repo90  |           456 |              9 |             240 |           10 |
| generic-local-repo217 |           432 |              9 |             240 |           10 |
| generic-local-repo295 |           432 |              9 |             240 |           10 |
